student_name,branch,sem1_sub1_mark,sem1_sub2_mark,sem1_sub3_mark,sem1_sub4_mark,sem2_sub1_mark,sem2_sub2_mark,sem2_sub3_mark,sem2_sub4_mark,sem3_sub1_mark,sem3_sub2_mark,sem3_sub3_mark,sem3_sub4_mark,sem4_sub1_mark,sem4_sub2_mark,sem4_sub3_mark,sem4_sub4_mark,club_hours
Abhinav Yadav,ECE,7,44,29,5,25,21,17,32,46,47,8,8,14,5,10,33,76
Yash Yadav,CIVIL,100,92,58,76,91,99,61,56,75,65,77,74,95,74,64,74,83
Divyansh Sharma,CSE,96,66,68,70,77,75,74,82,75,59,53,97,61,78,78,100,98
Rishi Chopra,CIVIL,60,51,59,100,68,72,73,54,86,96,69,56,50,91,58,52,90
Advait Yadav,MECH,91,76,60,51,54,100,94,71,85,96,51,95,79,58,88,67,86
Mayank Yadav,MECH,61,59,69,80,97,75,59,72,94,68,73,87,97,95,54,99,84
Ishaan Deshmukh,CIVIL,79,87,79,78,82,91,57,99,64,55,72,62,95,83,76,86,97
Aryan Deshmukh,MECH,41,38,19,24,8,32,18,1,5,21,24,35,43,31,32,19,12
Aarav Deshmukh,EEE,97,58,68,50,71,79,66,92,77,59,87,71,74,81,92,85,94
Pranav Bansal,MECH,66,66,53,97,99,95,67,75,80,58,57,63,57,86,73,53,88
Raj Gupta,AIDS,51,61,94,84,73,92,100,88,100,57,59,84,91,71,53,91,88
Ishaan Agarwal,CIVIL,70,75,85,97,82,71,78,52,98,59,70,59,86,63,64,55,94
Anirudh Sharma,AIDS,72,98,58,65,92,92,57,69,97,92,59,65,55,80,73,71,84
Ishaan Kapoor,CSE,59,58,50,98,88,51,90,68,68,65,99,86,99,88,86,97,87
Ansh Mehra,AIDS,17,49,35,45,48,34,38,40,37,40,39,45,31,30,45,17,45
Siddharth Gupta,ECE,79,70,51,92,83,56,70,76,53,80,61,81,57,93,80,58,90
Aman Tiwari,EEE,54,87,81,66,78,70,73,64,71,89,92,61,87,87,50,93,97
Rishi Yadav,CIVIL,50,83,75,95,57,59,51,72,71,74,89,87,94,66,77,55,88
Siddharth Saxena,ECE,83,80,96,59,69,95,79,54,63,69,87,54,61,52,97,51,95
Utkarsh Bansal,CIVIL,72,79,86,57,50,75,67,53,98,98,72,69,61,100,62,66,84
Atharva Yadav,CSE,69,90,63,65,65,63,67,55,51,91,71,84,74,56,70,65,94
Siddharth Sharma,ECE,10,49,7,39,11,17,0,20,3,26,44,16,12,9,31,30,73
Akhil Jha,AIDS,85,88,84,82,97,65,56,54,57,81,76,71,62,67,54,64,88
Rohan Sinha,ECE,91,54,65,78,77,51,55,81,54,55,73,100,92,53,72,94,81
Akhil Chopra,CIVIL,80,54,57,54,66,62,62,64,73,62,53,69,100,64,70,94,80
Vedant Mehra,CIVIL,81,66,72,99,93,99,85,84,98,80,53,50,69,78,58,58,85
Ayush Varma,CSE,81,69,67,61,72,54,81,69,95,60,67,90,85,94,87,84,89
Pranav Varma,EEE,85,99,58,80,86,99,98,66,70,62,60,99,91,91,98,72,85
Harsh Saxena,CIVIL,2,37,5,44,18,3,12,49,43,36,30,36,22,30,43,13,24
Siddharth Tiwari,CSE,93,52,73,62,95,53,69,61,69,75,100,98,56,67,74,88,96
Aryan Sinha,CSE,52,85,52,86,95,69,59,89,98,77,83,60,81,62,84,95,93
Ansh Saxena,AIDS,96,58,89,70,52,92,72,75,74,79,78,64,96,61,94,53,83
Aarav Tiwari,CSE,68,68,92,96,82,85,92,80,59,58,94,93,90,77,66,67,81
Atharva Bansal,EEE,77,50,96,53,97,61,89,77,83,79,92,71,93,61,75,68,91
Aman Mehra,CSE,93,53,60,58,53,90,54,79,92,55,74,83,94,57,96,70,100
Karan Jha,CIVIL,2,26,45,41,6,47,40,5,48,8,49,19,41,45,19,47,24
Pranav Gupta,CSE,81,60,100,91,57,60,52,53,97,85,56,87,93,99,53,56,87
Mayank Saxena,CSE,95,57,56,55,69,76,52,62,92,54,98,95,83,68,57,93,97
Aarush Mehra,ECE,61,55,92,94,60,84,76,78,94,95,75,58,86,53,93,96,98
Sahil Reddy,ECE,86,75,83,81,68,95,98,65,77,72,87,79,51,80,86,90,93
Aman Mehra,AIDS,81,63,56,98,99,65,70,87,52,64,59,50,63,81,71,57,99
Pranav Deshmukh,CIVIL,75,89,69,50,67,83,52,77,91,83,72,78,92,61,84,52,98
Rishi Saxena,MECH,41,17,27,39,28,4,36,9,28,48,11,43,21,49,5,4,18
Nikhil Tiwari,CSE,51,67,79,66,64,57,95,62,59,64,96,72,88,52,85,88,89
Harsh Jha,EEE,87,57,74,100,84,100,65,70,61,66,67,60,58,76,60,57,87
Nikhil Tiwari,AIDS,87,62,62,58,92,60,76,97,79,91,64,84,81,57,52,80,94
Aarav Bansal,EEE,65,72,59,79,51,50,61,54,96,68,55,95,60,90,88,95,98
Mohit Verma,CSE,70,58,58,89,94,52,99,56,50,79,77,68,86,52,95,72,86
Vikram Deshmukh,MECH,68,90,52,90,81,78,78,50,88,84,63,71,63,74,78,52,88
Ayush Gupta,AIDS,26,17,12,2,23,4,9,31,13,41,40,6,13,14,40,4,48
Akhil Reddy,ECE,54,53,92,63,76,61,95,66,52,100,56,73,96,63,80,55,100
Ishaan Bansal,CSE,93,71,60,71,61,61,64,99,51,77,62,92,76,54,87,88,96
Aarush Jha,MECH,74,69,74,98,76,65,77,85,77,75,60,61,94,68,73,53,89
Aniket Sharma,ECE,92,92,75,95,69,92,62,69,60,69,63,79,56,71,58,76,81
Shreyas Varma,MECH,97,65,81,84,58,65,53,70,77,78,86,55,69,65,96,75,82
Rohan Tiwari,ECE,99,64,75,98,55,69,56,67,95,89,55,54,55,73,86,99,93
Abhinav Saxena,MECH,10,1,44,16,33,8,41,18,30,44,46,6,4,2,29,20,28
Karan Mehra,MECH,72,78,64,100,69,57,73,98,87,87,86,89,58,56,69,88,95
Karan Mehra,EEE,68,72,68,81,62,95,50,85,75,62,51,100,79,65,67,55,88
Shivam Jha,AIDS,52,53,67,99,79,85,87,56,88,100,94,91,73,88,53,51,83
Abhinav Jha,CIVIL,94,91,96,86,86,87,98,91,67,80,89,76,69,69,57,55,100
Rahul Agarwal,EEE,79,85,50,98,81,55,69,92,98,73,95,57,70,85,84,68,88
Krish Saxena,EEE,99,52,81,79,51,77,92,75,65,83,56,81,95,71,87,91,94
Utkarsh Agarwal,CIVIL,31,33,18,1,14,43,6,40,23,42,42,25,0,46,31,47,63
Rohan Verma,CSE,60,95,71,54,74,58,96,100,75,86,50,95,57,92,93,76,84
Karan Verma,ECE,94,80,83,57,56,88,58,94,71,96,57,55,78,60,87,96,86
Shivam Reddy,CIVIL,95,87,93,63,61,72,66,82,64,87,98,75,50,72,61,89,99
Anirudh Deshmukh,CIVIL,94,93,80,85,99,61,70,86,74,69,90,53,96,82,80,71,85
Arjun Sharma,EEE,100,72,87,58,83,73,53,91,69,51,96,51,90,50,72,62,91
Nikhil Sinha,AIDS,50,88,92,97,86,74,92,57,50,50,52,93,80,98,55,63,89
Yash Singh,ECE,10,43,5,11,47,12,24,35,0,12,32,11,45,12,37,30,74
Karan Saxena,CSE,89,95,73,58,76,87,79,68,60,91,62,86,63,51,72,74,88
Mayank Chopra,MECH,96,98,90,57,97,67,97,62,74,99,74,73,64,100,95,85,96
Anirudh Saxena,EEE,56,85,52,92,87,76,92,55,93,81,85,93,78,78,83,70,80
Vedant Kapoor,ECE,82,78,83,90,55,77,85,72,79,53,100,96,78,75,67,72,92
Samarth Yadav,CSE,57,81,91,51,79,52,99,94,54,70,70,89,93,77,93,66,91
Krish Gupta,CSE,64,72,62,85,58,86,50,63,71,86,85,97,68,79,84,79,89
Divyansh Chopra,CIVIL,10,7,20,33,24,48,40,31,25,38,15,22,40,24,33,47,50
Anish Saxena,CIVIL,53,86,89,92,100,99,88,90,94,54,64,63,50,74,60,59,90
Sahil Kapoor,CIVIL,60,83,90,80,79,65,82,69,84,91,98,77,76,59,64,90,96
Pranav Agarwal,EEE,86,71,69,83,59,53,96,76,70,86,93,100,61,88,50,54,97
Karan Tiwari,EEE,74,57,90,79,63,77,69,55,68,58,74,57,81,60,98,82,98
Aarav Saxena,AIDS,57,65,85,75,93,72,56,94,69,54,77,50,55,87,62,55,86
Manav Deshmukh,ECE,79,76,51,81,88,60,62,52,98,52,97,57,78,77,94,93,84
Rishi Deshmukh,MECH,4,25,27,25,12,15,45,0,32,0,1,41,14,4,28,22,19
Kabir Kapoor,EEE,80,52,61,78,81,83,67,94,69,80,68,80,86,50,80,100,83
Harsh Patel,CSE,56,73,93,91,98,88,77,59,100,56,57,54,92,92,56,72,81
Ayush Saxena,ECE,100,92,75,82,80,67,75,87,51,92,100,51,78,78,52,51,84
Vikram Sinha,MECH,80,71,84,60,83,54,68,81,90,76,61,80,52,75,55,72,95
Aniket Yadav,CIVIL,80,69,74,92,69,76,82,51,58,68,60,100,58,90,91,90,88
Utkarsh Kapoor,ECE,68,71,77,96,84,68,94,60,69,73,62,83,61,92,81,57,98
Yash Reddy,CSE,11,10,5,38,31,8,19,17,27,12,0,17,15,25,1,17,56
Atharva Kapoor,ECE,75,89,88,95,62,82,65,73,93,87,53,78,99,51,92,56,98
Akhil Verma,MECH,57,96,65,51,77,50,59,100,78,80,92,83,78,95,81,53,97
Samarth Patel,EEE,61,89,81,59,63,67,79,88,65,84,64,93,66,89,53,56,87
Advait Saxena,EEE,80,52,76,53,65,58,93,64,93,58,87,83,87,61,62,83,94
Samarth Singh,AIDS,70,85,92,61,86,73,55,62,79,58,61,99,69,87,65,56,93
Vikram Reddy,CIVIL,97,74,62,68,50,77,90,64,84,69,61,90,74,88,94,59,97
Divyansh Sharma,CIVIL,13,12,39,4,3,18,32,31,25,15,20,41,28,40,26,14,27
Shivam Saxena,ECE,99,95,68,78,51,67,69,67,89,55,86,99,83,87,89,86,90
Aarush Sharma,EEE,69,85,66,94,65,63,87,60,95,50,74,53,64,92,73,86,80
Surya Yadav,CSE,98,99,65,75,94,100,64,72,85,78,81,85,79,57,99,54,88
Shivam Singh,EEE,89,82,56,95,61,98,90,76,66,76,74,99,86,73,70,94,88
Ishaan Mehra,CIVIL,82,85,77,76,97,50,59,72,90,67,98,70,59,51,93,89,97
Vedant Kapoor,AIDS,92,67,56,54,64,63,84,87,55,74,100,74,88,78,55,87,90
Anirudh Jha,CIVIL,40,3,45,46,17,29,4,44,23,45,44,18,23,26,12,30,53
Tanish Bansal,MECH,67,82,100,80,100,79,91,70,77,51,98,59,57,100,79,100,85
Vedant Agarwal,ECE,78,52,59,99,92,69,54,55,63,73,58,68,88,85,74,85,93
Manav Saxena,ECE,76,63,70,68,71,58,98,51,78,99,95,90,76,68,82,99,81
Ansh Reddy,CSE,68,60,63,53,98,66,93,92,82,79,97,93,76,67,63,73,87
Tanish Gupta,ECE,93,91,92,81,50,69,76,93,79,93,90,74,50,89,53,60,95
Atharva Sharma,MECH,93,54,86,90,86,90,54,81,58,85,91,84,69,61,83,75,88
Aarav Verma,MECH,36,17,37,31,25,2,4,26,31,41,40,45,42,8,24,43,72
Ankur Patel,ECE,79,81,87,99,63,57,84,53,72,83,80,53,51,60,85,88,91
Vikram Deshmukh,MECH,62,57,50,62,77,67,85,77,52,91,90,78,59,69,98,64,96
Kabir Jha,ECE,53,77,76,61,95,97,83,63,93,75,66,81,93,54,88,66,95
Surya Mehra,CIVIL,58,68,95,75,84,93,56,95,93,69,67,78,60,78,56,52,85
Mayank Jha,CSE,78,92,82,51,69,94,72,58,93,100,74,78,100,84,57,90,100
Pranav Verma,AIDS,89,71,84,84,75,61,55,58,97,78,86,75,53,51,51,69,98
Yash Sharma,ECE,39,18,42,6,3,37,34,22,13,1,39,12,9,39,27,34,12
Karan Yadav,CIVIL,87,58,73,80,96,86,65,100,69,93,99,95,68,97,65,92,94
Vedant Kapoor,ECE,97,93,90,80,100,50,51,83,61,96,50,62,73,96,86,78,87
Rahul Chopra,EEE,60,97,59,66,58,63,82,92,69,78,100,59,51,57,62,61,92
Karan Kapoor,AIDS,79,72,96,87,59,64,79,66,78,84,52,53,57,89,55,78,99
Dhruv Mehra,EEE,69,93,71,61,84,100,94,99,50,53,55,57,56,90,62,96,86
Kabir Reddy,ECE,85,59,70,56,90,51,87,84,81,52,79,66,96,72,64,64,84
Arjun Singh,CSE,8,46,6,47,17,37,1,3,2,30,43,41,2,44,1,8,25
Ayush Tiwari,CIVIL,90,57,97,78,84,69,97,91,73,99,87,56,71,97,87,60,97
Mohit Varma,EEE,89,63,56,73,97,53,57,72,51,69,61,70,82,84,61,68,95
Siddharth Saxena,EEE,100,81,53,76,65,78,69,65,60,96,84,51,66,64,99,55,97
Samarth Reddy,AIDS,72,85,80,60,88,73,72,82,84,99,97,60,82,84,57,93,96
Mayank Singh,CIVIL,65,87,80,84,70,52,65,74,84,65,89,57,59,60,91,64,90
Mohit Tiwari,EEE,95,71,99,56,52,76,99,94,82,57,60,82,78,80,94,100,83
Aryan Sinha,CSE,21,22,6,41,19,47,43,10,22,45,30,42,7,24,16,12,17
Yash Saxena,MECH,78,99,65,54,71,57,67,91,73,59,89,88,73,52,55,74,90
Aditya Varma,CSE,55,71,51,90,81,88,94,86,57,74,81,71,81,87,91,57,89
Samarth Saxena,ECE,82,68,94,97,90,52,82,66,96,98,86,90,50,61,52,89,81
Atharva Jha,MECH,50,55,88,68,97,56,69,69,80,63,55,74,65,82,98,65,91
Raj Saxena,ECE,77,66,72,92,82,93,92,64,56,95,97,51,81,72,53,97,99
Samarth Saxena,CIVIL,81,100,75,62,83,87,99,100,62,70,96,66,100,69,65,71,91
Ansh Varma,CIVIL,9,11,14,42,38,39,44,4,48,29,21,29,33,34,45,21,15
Anirudh Agarwal,EEE,83,57,86,83,73,71,94,67,64,97,67,90,73,71,65,94,87
Raj Verma,MECH,90,96,70,50,82,57,66,71,93,98,69,71,57,83,70,86,81
Anish Yadav,AIDS,57,88,64,58,69,56,82,99,60,51,71,84,89,99,99,89,89
Mayank Agarwal,MECH,52,62,64,56,71,54,72,87,76,65,50,99,98,54,62,72,91
Rishi Sharma,ECE,76,85,66,98,56,83,77,82,64,88,83,79,78,68,65,70,86
Pranav Reddy,ECE,79,68,74,57,85,91,53,65,63,84,64,98,93,53,52,97,85
Aarav Reddy,EEE,44,25,30,44,1,39,1,37,6,27,8,6,22,38,42,6,1
Ankur Saxena,CSE,63,61,62,77,77,92,64,86,54,64,68,77,89,97,99,97,89
Samarth Yadav,CIVIL,54,86,93,53,57,64,53,54,83,51,54,91,91,62,64,53,100
Yash Reddy,ECE,93,54,57,86,76,88,93,63,71,93,87,63,81,93,98,81,96
Mayank Deshmukh,ECE,60,52,86,91,82,95,53,79,51,60,55,86,52,68,85,62,80
Rishi Jha,ECE,63,66,77,93,67,100,81,78,74,96,89,55,100,99,68,94,81
Yash Kapoor,CSE,81,75,66,57,99,70,89,75,72,59,93,87,65,52,57,72,86
Utkarsh Tiwari,CIVIL,14,25,19,42,37,18,33,43,16,45,33,39,29,23,28,34,51
Shivam Sinha,CSE,95,80,62,75,89,63,68,79,80,83,54,85,82,60,92,93,82
Ankur Chopra,MECH,66,69,62,57,50,52,79,99,64,63,65,56,97,54,96,97,95
Siddharth Chopra,EEE,63,87,90,51,85,80,72,50,97,87,82,74,65,56,72,79,84
Nikhil Chopra,CIVIL,76,63,62,81,76,61,99,50,54,79,93,58,53,65,89,50,93
Nikhil Yadav,AIDS,98,83,87,72,67,79,66,61,81,59,95,93,84,53,71,88,85
Kabir Bansal,AIDS,95,53,60,64,51,82,78,94,84,76,96,92,95,84,54,92,83
Nikhil Gupta,CIVIL,29,11,19,45,42,34,19,48,17,18,0,10,42,32,17,1,13
Shreyas Deshmukh,EEE,80,100,87,63,92,63,68,70,70,70,70,63,87,64,52,82,87
Yash Singh,MECH,66,52,96,89,75,75,58,60,56,61,64,62,64,76,52,76,100
Nikhil Patel,EEE,62,57,99,74,58,68,53,65,69,97,86,71,64,63,50,84,85
Mayank Tiwari,CIVIL,71,99,82,68,66,62,65,86,68,56,54,77,87,77,51,64,86
Vikram Sharma,CIVIL,65,65,90,64,68,53,60,63,54,67,64,92,68,58,79,83,82
Vikram Kapoor,CSE,75,99,73,76,72,52,74,92,85,74,54,94,96,65,69,81,85
Siddharth Varma,CIVIL,44,46,43,22,48,0,23,16,17,47,7,45,6,40,12,28,71
Mayank Sharma,CSE,93,64,68,91,62,100,79,98,70,60,82,62,65,56,76,55,84
Yash Mehra,CIVIL,93,55,73,95,88,75,55,57,68,62,78,63,76,76,68,67,86
Karan Jha,CSE,74,89,89,85,68,62,80,55,61,66,98,65,65,71,69,91,94
Ayush Chopra,ECE,89,80,85,96,75,91,50,85,75,63,81,66,66,100,52,85,98
Pranav Agarwal,CSE,51,99,64,64,55,71,77,84,97,55,81,67,50,54,99,87,93
Shreyas Singh,CSE,50,71,53,100,58,73,78,99,70,55,90,92,58,50,89,89,85
Shreyas Yadav,AIDS,11,21,47,10,2,24,40,39,3,40,47,48,21,16,8,43,56
Aryan Sharma,EEE,84,70,57,99,82,100,76,73,91,88,89,87,72,97,53,96,86
Rishi Patel,EEE,68,94,79,98,99,97,80,78,63,97,97,69,96,57,94,86,81
Manav Reddy,CSE,67,52,59,57,67,87,96,73,85,52,57,75,77,83,81,90,88
Vedant Varma,MECH,66,79,85,69,64,85,100,90,73,82,54,87,54,86,72,68,94
Krish Sharma,CIVIL,67,71,77,72,65,65,97,73,51,93,64,67,72,61,99,69,81
Divyansh Agarwal,ECE,79,73,78,87,54,84,83,51,89,52,57,87,85,92,85,89,83
Raj Saxena,CSE,13,35,24,11,14,30,35,42,28,2,16,38,38,40,28,1,5
Ishaan Agarwal,EEE,80,99,99,97,54,53,84,90,97,94,56,65,64,81,77,76,86
Anish Patel,CIVIL,54,80,73,57,84,81,62,89,57,90,60,84,72,92,74,71,80
Dhruv Gupta,MECH,99,88,90,78,63,89,92,50,98,97,81,51,61,55,50,71,87
Nikhil Mehra,CIVIL,95,54,89,76,78,62,77,67,58,57,65,60,53,55,89,95,98
Rishi Reddy,CSE,74,84,90,87,58,70,81,83,98,74,98,99,76,53,82,98,88
Surya Mehra,CSE,69,91,62,81,63,64,64,61,62,89,64,68,95,78,69,65,96
Rohan Verma,ECE,38,14,31,5,42,12,21,21,17,14,16,14,49,28,36,9,53
Ansh Bansal,EEE,60,64,65,63,58,80,91,72,50,90,88,72,96,55,85,64,84
Raj Jha,ECE,61,61,62,92,78,80,87,84,98,66,84,53,78,54,96,61,92
Shreyas Reddy,CIVIL,67,97,77,78,87,98,77,92,72,64,52,65,72,69,71,85,91
Nikhil Jha,AIDS,50,93,99,100,58,73,99,61,69,96,98,69,92,72,100,87,86
Samarth Bansal,EEE,81,58,59,100,67,58,64,85,84,62,89,87,90,96,99,59,97
Rohan Reddy,CIVIL,67,61,78,68,100,76,54,68,62,82,66,55,82,99,74,82,95
Aarav Saxena,ECE,44,2,15,16,11,10,18,24,48,4,49,8,49,47,44,41,54
Abhinav Jha,AIDS,91,68,93,77,94,76,60,80,90,69,81,96,95,67,80,85,81
Ayush Deshmukh,ECE,56,97,88,90,55,62,52,84,95,75,86,51,65,86,64,66,80
Rishi Reddy,CSE,89,68,54,67,89,82,99,58,79,87,94,66,54,57,52,58,87
Shreyas Bansal,MECH,90,78,52,70,62,62,80,51,95,89,86,77,92,57,85,71,96
Rohan Chopra,AIDS,100,93,73,87,58,73,85,97,64,91,59,84,66,62,62,75,81
Akhil Mehra,CSE,85,96,58,66,88,72,68,50,96,94,54,77,66,81,100,50,94
Raj Chopra,ECE,47,48,28,48,2,15,24,23,22,2,38,23,11,17,20,23,45
Nikhil Verma,MECH,53,58,93,84,83,75,86,96,53,71,76,80,96,56,79,78,86
Aniket Kapoor,CSE,86,93,64,77,72,86,55,95,61,95,78,92,73,98,86,74,89
Samarth Chopra,CSE,100,99,94,63,85,88,74,66,72,69,51,72,60,75,52,84,91
Atharva Bansal,CIVIL,95,60,83,84,72,80,67,61,51,66,51,52,70,51,81,63,87
Siddharth Kapoor,EEE,95,67,85,85,72,96,70,96,61,70,96,59,88,83,54,56,89
Rahul Sharma,CSE,79,73,82,90,82,70,81,65,51,51,98,58,71,72,100,52,82
Aryan Singh,ECE,15,8,19,13,2,23,23,0,3,33,21,2,25,16,21,38,28
Raj Verma,EEE,53,75,66,78,66,55,75,59,77,50,54,82,63,85,68,76,88
Vikram Bansal,MECH,97,76,54,70,55,55,57,86,60,87,72,73,67,70,65,85,81
Yash Verma,AIDS,62,67,64,72,74,66,71,53,100,71,97,54,96,78,94,90,83
Rohan Singh,EEE,95,95,51,80,58,74,77,56,53,90,62,94,74,93,92,63,80
Karan Sharma,EEE,56,63,59,78,53,54,85,56,70,52,86,72,59,87,67,63,88
Krish Kapoor,MECH,86,84,80,61,92,83,96,51,99,98,51,67,58,63,79,91,81
Aryan Gupta,ECE,13,31,32,25,6,36,14,24,41,19,27,22,47,33,34,17,6
Siddharth Singh,CIVIL,77,61,85,75,70,62,75,50,83,79,99,79,52,80,99,67,99
Dhruv Deshmukh,CSE,90,57,90,78,88,63,78,81,57,61,55,52,66,83,98,60,84
Dhruv Verma,MECH,68,83,62,65,85,83,60,64,62,98,91,81,65,85,55,66,95
Akhil Deshmukh,MECH,60,57,59,93,91,59,62,90,57,96,98,53,81,99,59,98,82
Rishi Jha,CIVIL,90,95,93,99,92,54,96,57,80,51,97,50,100,90,67,70,98
Rohan Gupta,CIVIL,94,80,51,53,70,50,86,88,87,54,90,55,89,56,93,63,97
Ishaan Sinha,ECE,22,0,29,33,38,18,4,8,23,40,33,33,35,36,44,45,67
Aniket Mehra,CSE,62,54,66,98,100,88,59,90,100,70,69,92,89,50,50,90,82
Rohan Varma,ECE,93,84,64,59,82,71,99,85,56,77,58,73,54,56,90,98,99
Kabir Deshmukh,EEE,52,57,94,75,68,64,87,92,95,68,82,67,62,63,50,68,81
Karan Bansal,MECH,66,87,93,68,85,77,80,71,52,98,56,51,92,57,98,86,83
Harsh Agarwal,MECH,74,56,80,79,99,85,79,94,93,94,84,93,62,92,64,65,91
Divyansh Chopra,ECE,100,76,96,81,90,97,82,80,94,70,61,93,67,68,93,85,98
Aarav Verma,CSE,9,18,21,26,45,2,40,43,32,36,39,24,38,22,37,21,15
Harsh Varma,CSE,90,69,72,82,52,61,87,96,50,75,51,78,69,88,58,93,89
Mayank Saxena,MECH,93,84,83,74,59,65,75,53,61,64,87,83,85,96,85,59,94
Aniket Sinha,CSE,76,53,71,66,89,79,51,70,97,83,59,98,82,85,55,87,84
Ansh Verma,MECH,79,76,81,54,63,80,93,89,86,82,73,61,63,93,87,56,85
Mayank Agarwal,MECH,90,76,58,66,62,88,92,99,95,60,99,85,92,62,75,81,86
Pranav Patel,CSE,97,51,50,80,60,80,68,98,82,87,70,68,57,50,78,69,81
Ansh Sharma,ECE,20,16,0,26,30,42,10,12,46,44,32,48,37,39,15,32,60
Vedant Yadav,AIDS,65,54,93,61,87,99,88,85,54,84,73,81,97,66,68,53,83
Aarush Saxena,CSE,84,55,59,65,72,86,98,76,78,62,73,80,78,68,78,85,80
Mayank Sharma,AIDS,62,52,57,81,63,61,90,72,86,56,85,91,80,70,59,93,88
Krish Varma,ECE,83,54,72,79,93,70,55,68,72,74,86,54,52,56,83,74,88
Vedant Yadav,CIVIL,96,76,95,68,88,92,96,59,83,90,55,63,84,51,62,91,86
Advait Sinha,EEE,85,63,50,91,76,86,55,93,93,54,90,86,76,50,75,79,95
Aryan Sinha,MECH,49,21,47,35,11,6,16,8,42,41,19,42,36,25,36,1,47
Rishi Mehra,AIDS,86,67,51,73,64,52,61,50,56,93,52,82,50,100,82,58,97
Mohit Agarwal,CIVIL,70,60,83,54,69,64,71,80,68,82,97,67,81,58,60,62,85
Raj Agarwal,CSE,81,92,80,84,89,55,91,69,93,56,88,100,95,88,60,77,94
Aman Deshmukh,MECH,61,97,80,58,56,75,99,85,85,97,52,93,62,82,98,70,88
Krish Sharma,CIVIL,82,60,93,97,61,80,56,55,71,79,77,85,69,88,75,99,96
Shreyas Singh,MECH,87,96,91,66,56,81,100,68,55,70,85,72,57,72,74,64,87
Aniket Chopra,ECE,1,41,18,9,39,13,16,47,37,40,40,12,37,32,38,15,51
Anish Reddy,EEE,67,59,74,73,53,91,99,94,67,65,92,74,68,58,98,86,81
Sahil Mehra,CIVIL,70,96,75,89,57,83,74,63,99,79,80,53,57,64,81,88,93
Anirudh Verma,CSE,74,51,92,84,70,75,80,78,71,61,90,77,88,74,64,60,93
Surya Yadav,CSE,93,78,79,58,61,86,97,92,96,88,61,90,94,52,55,72,92
Aditya Varma,ECE,91,54,58,63,90,58,75,97,89,68,51,51,76,71,68,92,90
Akhil Mehra,CSE,59,59,89,96,76,60,74,92,56,87,95,64,72,99,54,66,85
Ansh Sharma,ECE,29,26,20,5,17,0,42,40,17,12,26,43,5,26,20,1,60
Vikram Patel,MECH,76,64,65,54,66,70,81,68,83,90,69,93,84,97,57,95,97
Mohit Reddy,ECE,56,54,85,59,84,63,65,54,57,91,56,63,94,90,50,83,98
Tanish Tiwari,CSE,92,69,79,84,60,63,98,88,99,51,87,62,81,64,78,84,85
Aman Verma,AIDS,89,55,90,73,78,60,88,71,74,58,60,93,94,91,51,92,92
Aniket Sinha,CSE,56,59,64,94,77,71,76,95,82,54,60,60,87,95,62,88,81
Rishi Jha,ECE,80,86,67,92,55,77,55,77,90,80,94,55,56,89,80,52,99
Anirudh Yadav,ECE,30,25,47,45,20,25,21,48,6,22,33,24,34,40,23,27,23
Divyansh Gupta,AIDS,67,80,66,86,64,79,74,92,98,100,100,55,71,69,96,53,100
Siddharth Jha,MECH,91,88,93,96,88,100,97,61,88,76,87,54,97,81,60,98,94
Karan Tiwari,MECH,53,57,54,63,76,56,53,59,75,92,87,71,79,92,76,96,99
Shivam Deshmukh,CSE,59,88,79,68,63,98,84,72,71,82,72,76,61,59,77,61,95
Karan Deshmukh,ECE,75,75,82,71,54,81,71,92,69,92,95,94,74,81,55,97,91
Dhruv Saxena,MECH,62,55,82,69,89,67,90,75,90,87,55,73,92,62,78,58,97
Rishi Saxena,CIVIL,33,1,1,49,7,42,10,47,12,7,26,47,9,43,21,39,79
Aditya Verma,EEE,75,96,98,69,62,52,88,94,53,82,81,84,71,62,93,76,90
Utkarsh Deshmukh,MECH,68,53,92,82,84,54,79,85,71,69,96,90,51,95,60,95,95
Ishaan Patel,CSE,53,62,60,75,72,66,80,86,89,73,65,94,66,89,60,85,82
Anish Sharma,MECH,88,86,62,93,74,72,74,88,74,89,73,63,64,65,70,62,93
Kabir Chopra,CIVIL,74,100,81,80,78,86,66,62,57,68,51,53,81,87,85,56,100
Ansh Gupta,EEE,67,63,65,68,91,75,58,93,81,88,68,76,65,51,97,83,81
Siddharth Bansal,MECH,46,2,40,42,47,45,48,13,46,14,30,13,9,5,24,16,17
Nikhil Kapoor,CIVIL,99,85,99,64,93,67,87,97,96,98,73,97,84,85,81,88,81
Ayush Mehra,AIDS,73,92,87,96,95,82,99,91,82,54,95,75,75,93,84,89,87
Rahul Jha,ECE,65,77,80,97,93,76,69,80,73,97,91,74,92,56,73,61,84
Karan Reddy,EEE,78,65,55,64,74,77,86,54,81,99,89,63,58,71,58,87,83
Anish Agarwal,CIVIL,94,81,66,88,83,80,60,51,72,57,54,71,77,91,97,82,94
Ayush Agarwal,MECH,63,91,62,62,58,59,83,89,100,71,59,61,85,57,58,62,93
Aryan Verma,ECE,40,30,9,12,14,3,25,49,41,1,45,20,46,44,18,46,75
Rishi Saxena,MECH,79,97,66,78,74,87,78,57,71,81,100,75,75,71,66,71,99
Atharva Varma,CIVIL,82,83,76,78,85,75,75,52,82,77,53,89,78,60,81,64,84
